CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1731,      3765,1,        48,        52,   218997.7968750000,  4368914.0000000000,      3764,1,        48,        51,   218907.7968750000,  4368914.0000000000,0.333333343267,         0,         0
      1732,      3765,1,        48,        52,   218997.7968750000,  4368914.0000000000,      3766,1,        48,        53,   219087.7968750000,  4368914.0000000000,0.333333343267,         0,         0
      1733,      3843,1,        49,        51,   218907.7968750000,  4368824.0000000000,      3764,1,        48,        51,   218907.7968750000,  4368914.0000000000,0.500000000000,         0,         0
      1734,      3843,1,        49,        51,   218907.7968750000,  4368824.0000000000,      3842,1,        49,        50,   218817.7968750000,  4368824.0000000000,0.500000000000,         0,         0
      1735,      3845,1,        49,        53,   219087.7968750000,  4368824.0000000000,      3766,1,        48,        53,   219087.7968750000,  4368914.0000000000,0.500000000000,         0,         0
      1736,      3845,1,        49,        53,   219087.7968750000,  4368824.0000000000,      3846,1,        49,        54,   219177.7968750000,  4368824.0000000000,0.500000000000,         0,         0
      1737,      4001,1,        51,        51,   218907.7968750000,  4368644.0000000000,      4080,1,        52,        51,   218907.7968750000,  4368554.0000000000,0.500000000000,         0,         0
      1738,      4001,1,        51,        51,   218907.7968750000,  4368644.0000000000,      4000,1,        51,        50,   218817.7968750000,  4368644.0000000000,0.500000000000,         0,         0
      1739,      4032,1,        52,         3,   214587.7968750000,  4368554.0000000000,      4033,1,        52,         4,   214677.7968750000,  4368554.0000000000,1.000000000000,         0,         0
      1740,      4033,1,        52,         4,   214677.7968750000,  4368554.0000000000,      4112,1,        53,         4,   214677.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1741,      4033,1,        52,         4,   214677.7968750000,  4368554.0000000000,      4034,1,        52,         5,   214767.7968750000,  4368554.0000000000,0.500000000000,         0,         0
      1742,      4034,1,        52,         5,   214767.7968750000,  4368554.0000000000,      4113,1,        53,         5,   214767.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1743,      4034,1,        52,         5,   214767.7968750000,  4368554.0000000000,      4035,1,        52,         6,   214857.7968750000,  4368554.0000000000,0.500000000000,         0,         0
      1744,      4035,1,        52,         6,   214857.7968750000,  4368554.0000000000,      4114,1,        53,         6,   214857.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1745,      4035,1,        52,         6,   214857.7968750000,  4368554.0000000000,      4036,1,        52,         7,   214947.7968750000,  4368554.0000000000,0.500000000000,         0,         0
      1746,      4080,1,        52,        51,   218907.7968750000,  4368554.0000000000,      4159,1,        53,        51,   218907.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1747,      4080,1,        52,        51,   218907.7968750000,  4368554.0000000000,      4079,1,        52,        50,   218817.7968750000,  4368554.0000000000,0.500000000000,         0,         0
      1748,      4112,1,        53,         4,   214677.7968750000,  4368464.0000000000,      4191,1,        54,         4,   214677.7968750000,  4368374.0000000000,0.500000000000,         0,         0
      1749,      4112,1,        53,         4,   214677.7968750000,  4368464.0000000000,      4113,1,        53,         5,   214767.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1750,      4113,1,        53,         5,   214767.7968750000,  4368464.0000000000,      4192,1,        54,         5,   214767.7968750000,  4368374.0000000000,0.500000000000,         0,         0
      1751,      4113,1,        53,         5,   214767.7968750000,  4368464.0000000000,      4114,1,        53,         6,   214857.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1752,      4114,1,        53,         6,   214857.7968750000,  4368464.0000000000,      4193,1,        54,         6,   214857.7968750000,  4368374.0000000000,0.500000000000,         0,         0
      1753,      4114,1,        53,         6,   214857.7968750000,  4368464.0000000000,      4115,1,        53,         7,   214947.7968750000,  4368464.0000000000,0.500000000000,         0,         0
      1754,      4191,1,        54,         4,   214677.7968750000,  4368374.0000000000,      4192,1,        54,         5,   214767.7968750000,  4368374.0000000000,1.000000000000,         0,         0
      1755,      4271,1,        55,         5,   214767.7968750000,  4368284.0000000000,      4192,1,        54,         5,   214767.7968750000,  4368374.0000000000,0.500000000000,         0,         0
      1756,      4271,1,        55,         5,   214767.7968750000,  4368284.0000000000,      4272,1,        55,         6,   214857.7968750000,  4368284.0000000000,0.500000000000,         0,         0
      1757,      4272,1,        55,         6,   214857.7968750000,  4368284.0000000000,      4193,1,        54,         6,   214857.7968750000,  4368374.0000000000,0.500000000000,         0,         0
      1758,      4272,1,        55,         6,   214857.7968750000,  4368284.0000000000,      4273,1,        55,         7,   214947.7968750000,  4368284.0000000000,0.500000000000,         0,         0
      1759,      4337,1,        55,        71,   220707.7968750000,  4368284.0000000000,      4258,1,        54,        71,   220707.7968750000,  4368374.0000000000,0.333333343267,         0,         0
      1760,      4337,1,        55,        71,   220707.7968750000,  4368284.0000000000,      4336,1,        55,        70,   220617.7968750000,  4368284.0000000000,0.333333343267,         0,         0
      1761,      4337,1,        55,        71,   220707.7968750000,  4368284.0000000000,      4338,1,        55,        72,   220797.7968750000,  4368284.0000000000,0.333333343267,         0,         0
      1762,      4425,1,        57,         1,   214407.7968750000,  4368104.0000000000,      4426,1,        57,         2,   214497.7968750000,  4368104.0000000000,1.000000000000,         0,         0
      1763,      4426,1,        57,         2,   214497.7968750000,  4368104.0000000000,      4505,1,        58,         2,   214497.7968750000,  4368014.0000000000,0.500000000000,         0,         0
      1764,      4426,1,        57,         2,   214497.7968750000,  4368104.0000000000,      4427,1,        57,         3,   214587.7968750000,  4368104.0000000000,0.500000000000,         0,         0
      1765,      4505,1,        58,         2,   214497.7968750000,  4368014.0000000000,      4506,1,        58,         3,   214587.7968750000,  4368014.0000000000,1.000000000000,         0,         0
      1766,      4520,1,        58,        17,   215847.7968750000,  4368014.0000000000,      4441,1,        57,        17,   215847.7968750000,  4368104.0000000000,0.333333343267,         0,         0
      1767,      4520,1,        58,        17,   215847.7968750000,  4368014.0000000000,      4519,1,        58,        16,   215757.7968750000,  4368014.0000000000,0.333333343267,         0,         0
      1768,      4520,1,        58,        17,   215847.7968750000,  4368014.0000000000,      4521,1,        58,        18,   215937.7968750000,  4368014.0000000000,0.333333343267,         0,         0
      1769,      4558,1,        58,        55,   219267.7968750000,  4368014.0000000000,      4479,1,        57,        55,   219267.7968750000,  4368104.0000000000,0.333333343267,         0,         0
      1770,      4558,1,        58,        55,   219267.7968750000,  4368014.0000000000,      4557,1,        58,        54,   219177.7968750000,  4368014.0000000000,0.333333343267,         0,         0
      1771,      4558,1,        58,        55,   219267.7968750000,  4368014.0000000000,      4559,1,        58,        56,   219357.7968750000,  4368014.0000000000,0.333333343267,         0,         0
      1772,      4585,1,        59,         3,   214587.7968750000,  4367924.0000000000,      4506,1,        58,         3,   214587.7968750000,  4368014.0000000000,0.500000000000,         0,         0
      1773,      4585,1,        59,         3,   214587.7968750000,  4367924.0000000000,      4586,1,        59,         4,   214677.7968750000,  4367924.0000000000,0.500000000000,         0,         0
      1774,      4594,1,        59,        12,   215397.7968750000,  4367924.0000000000,      4515,1,        58,        12,   215397.7968750000,  4368014.0000000000,0.333333343267,         0,         0
      1775,      4594,1,        59,        12,   215397.7968750000,  4367924.0000000000,      4593,1,        59,        11,   215307.7968750000,  4367924.0000000000,0.333333343267,         0,         0
      1776,      4594,1,        59,        12,   215397.7968750000,  4367924.0000000000,      4595,1,        59,        13,   215487.7968750000,  4367924.0000000000,0.333333343267,         0,         0
      1777,      4595,1,        59,        13,   215487.7968750000,  4367924.0000000000,      4516,1,        58,        13,   215487.7968750000,  4368014.0000000000,0.500000000000,         0,         0
      1778,      4595,1,        59,        13,   215487.7968750000,  4367924.0000000000,      4596,1,        59,        14,   215577.7968750000,  4367924.0000000000,0.500000000000,         0,         0
      1779,      4596,1,        59,        14,   215577.7968750000,  4367924.0000000000,      4517,1,        58,        14,   215577.7968750000,  4368014.0000000000,1.000000000000,         0,         0
      1780,      4598,1,        59,        16,   215757.7968750000,  4367924.0000000000,      4519,1,        58,        16,   215757.7968750000,  4368014.0000000000,0.500000000000,         0,         0
      1781,      4598,1,        59,        16,   215757.7968750000,  4367924.0000000000,      4597,1,        59,        15,   215667.7968750000,  4367924.0000000000,0.500000000000,         0,         0
      1782,      4600,1,        59,        18,   215937.7968750000,  4367924.0000000000,      4521,1,        58,        18,   215937.7968750000,  4368014.0000000000,0.500000000000,         0,         0
      1783,      4600,1,        59,        18,   215937.7968750000,  4367924.0000000000,      4601,1,        59,        19,   216027.7968750000,  4367924.0000000000,0.500000000000,         0,         0
